10000, 0.76, 0.25, 0.47, 0.01, 0, 0.06, 0.01, 
11000, 0.92, 0.31, 0.58, 0, 0.01, 0.06, 0.01, 
12000, 1.1, 0.37, 0.7, 0.01, 0, 0.08, 0.01, 
13000, 1.3, 0.43, 0.83, 0.01, 0, 0.08, 0, 
14000, 1.53, 0.49, 0.99, 0.01, 0, 0.08, 0.01, 
15000, 1.74, 0.57, 1.15, 0, 0.01, 0.09, 0.01, 
16000, 1.98, 0.64, 1.33, 0.01, 0.01, 0.09, 0.01, 
17000, 2.23, 0.73, 1.52, 0.01, 0.01, 0.1, 0.01, 
18000, 2.51, 0.81, 1.73, 0.01, 0.01, 0.1, 0.01, 
19000, 2.8, 0.91, 1.94, 0.01, 0.01, 0.12, 0.01, 
20000, 3.11, 1.01, 2.18, 0, 0.01, 0.13, 0.01, 
21000, 3.43, 1.11, 2.42, 0.01, 0.01, 0.13, 0.01, 
22000, 3.75, 1.22, 2.7, 0, 0.02, 0.15, 0.01, 
23000, 4.1, 1.33, 2.96, 0.01, 0.01, 0.15, 0.01, 
24000, 4.46, 1.45, 3.26, 0.01, 0.01, 0.16, 0.01, 
25000, 4.85, 1.57, 3.56, 0.01, 0.01, 0.17, 0.01, 
26000, 5.27, 1.71, 3.87, 0.01, 0.01, 0.17, 0.02, 
27000, 5.66, 1.84, 4.22, 0.01, 0.02, 0.17, 0.01, 
28000, 6.09, 1.98, 4.57, 0.01, 0.02, 0.18, 0.02, 
29000, 6.53, 2.12, 4.92, 0.01, 0.01, 0.19, 0.02, 
30000, 6.99, 2.28, 5.3, 0.01, 0.02, 0.19, 0.02, 
31000, 7.56, 2.5, 5.86, 0.02, 0.01, 0.03, 0.01, 
32000, 8.16, 2.65, 6.28, 0.01, 0.02, 0.21, 0.01, 
33000, 8.69, 2.81, 6.69, 0.01, 0.02, 0.22, 0.02, 
34000, 9.2, 3, 7.13, 0.02, 0.02, 0.03, 0.02, 
35000, 9.74, 3.16, 7.59, 0.01, 0.02, 0.24, 0.02, 
36000, 10.31, 3.35, 8.01, 0.01, 0.03, 0.23, 0.02, 
37000, 10.9, 3.54, 8.5, 0.01, 0.03, 0.23, 0.02, 
38000, 11.2, 3.63, 8.68, 0.02, 0.02, 0.24, 0.03, 
39000, 11.81, 3.84, 9.17, 0.01, 0.03, 0.26, 0.02, 
