140000, 154.8, 50.5, 304.61, 0.09, 0.1, 1.02, 0.09, 
141000, 157.02, 51.2, 309.26, 0.09, 0.1, 1.05, 0.09, 
142000, 159.32, 51.92, 316.19, 0.08, 0.1, 1.04, 0.09, 
143000, 161.51, 52.66, 300.16, 0.08, 0.1, 1.04, 0.09, 
144000, 163.75, 53.47, 270.92, 0.08, 0.1, 1.05, 0.1, 
145000, 166.07, 54.18, 256.36, 0.09, 0.11, 1.07, 0.1, 
146000, 168.51, 54.91, 290.84, 0.1, 0.11, 1.1, 0.1, 
147000, 171.12, 55.67, 285.95, 0.11, 0.11, 1.13, 0.1, 
148000, 174.02, 56.39, 292.79, 0.09, 0.11, 1.1, 0.1, 
149000, 176.36, 57.16, 292.16, 0.11, 0.11, 1.13, 0.11, 
150000, 178.91, 57.93, 290.18, 0.11, 0.12, 1.12, 0.1, 
151000, 181.52, 58.71, 218.33, 0.1, 0.11, 1.13, 0.1, 
152000, 183.99, 59.63, 197.19, 0.09, 0.11, 1.1, 0.1, 
153000, 185.65, 60.52, 226.73, 0.08, 0.11, 1.12, 0.11, 
154000, 187.54, 61.33, 279.72, 0.08, 0.11, 1.13, 0.1, 
155000, 189.75, 62.02, 299.92, 0.09, 0.11, 1.21, 0.1, 
156000, 192.23, 62.76, 332.51, 0.1, 0.11, 1.21, 0.11, 
157000, 195.16, 63.47, 335.37, 0.1, 0.12, 1.22, 0.11, 
158000, 197.56, 64.27, 340.1, 0.11, 0.13, 1.25, 0.11, 
159000, 200.1, 65.09, 399.68, 0.12, 0.13, 1.28, 0.11, 
